manufacturer,cpuName,threads
AMD,Threadripper 3990X,128
AMD,Threadripper Pro 3995WX,128
AMD,Epyc 7702P,128
AMD,Threadripper 3970X,64
AMD,Threadripper Pro 3975WX,64
AMD,Threadripper 3960X,64
AMD,Threadripper 2990WX,64
AMD,Ryzen 9 5950X,32
Intel,Core i9 12900K,24
Intel,Core i9 12900KF,24
Intel,Core i9 12900KS,24
AMD,Threadripper Pro 3955WX,32
Intel,Core i9 9980XE,36
AMD,Ryzen 9 3950X,32
Intel,Core i9 10980XE,36
Intel,Core i7 12700K,20
Intel,Core i7 12700KF,20
AMD,Ryzen 9 5900X,24
Apple,M1 Ultra,20
AMD,Ryzen 9 5900,24
AMD,Threadripper 1950X,32
AMD,Threadripper 2950X,32
AMD,Ryzen 9 3900X,24
AMD,Ryzen 9 3900XT,24
Intel,Core i9 7980XE,36
Intel,Core i9 12900HK,20
Intel,Core i9 9960X,32
Intel,Core i5 12600KF,16
Intel,Core i9 10900KF,20
Intel,Core i5 12600K,16
Intel,Core i7 12700H,20
Intel,Core i9 12900H,20
Intel,Core i9 10940X,28
Intel,Core i9 11900KF,16
Intel,Core i7 12700,20
Intel,Core i9 11900K,16
Intel,Core i7 12800H,20
Intel,Core i9 10850K,20
Intel,Core i9 10920X,24
Intel,Core i9 9940X,28
Intel,Core i9 10900K,20
Intel,Core i9 7960X,32
Intel,Core i7 11700KF,16
Intel,Core i7 11700K,16
AMD,Ryzen 7 5800X3D,16
AMD,Threadripper 1920X,24
Intel,Core i9 9920X,24
AMD,Ryzen 9 6980HS,16
AMD,Ryzen 9 6980HX,16
Intel,Core i5 12500H,16
AMD,Ryzen 7 5800X,16
AMD,Ryzen 9 6900HX,16
Intel,Core i9 10900X,20
AMD,Ryzen 7 5700X,16
AMD,Ryzen 7 5700G,16
AMD,Ryzen 7 5800,16
Intel,Core i9 9900X,20
Intel,Core i9 11980HK,16
AMD,Ryzen 7 3800X,16
Intel,Core i7 7820X,16
Intel,Core i9 11900,16
Intel,Core i9 10900,20
Intel,Core i7 9800X,16
AMD,Ryzen 7 6800H,16
Intel,Core i9 11900F,16
Intel,Core i5 12500,12
AMD,Ryzen 7 Pro 4750G,16
AMD,Ryzen 9 6900HS,16
AMD,Ryzen 9 5900H,16
Intel,Core i9 9900KF,16
AMD,Ryzen 7 3800XT,16
AMD,Ryzen 9 5900HX,16
Intel,Core i9 9900KS,16
Intel,Core i7 10700K,16
Intel,Core i7 10700KF,16
Intel,Core i9 11950H,16
AMD,Ryzen 9 5980HS,16
AMD,Ryzen 9 5900HS,16
AMD,Ryzen 7 4700G,16
Intel,Core i9 10900T,20
AMD,Ryzen 7 6800HS,16
Intel,Core i9 9900K,16
Apple,M1 Max,10
Intel,Core i7 11850H,16
Intel,Core i7 10700F,16
Intel,Core i7 11800H,16
Intel,Core i9 9900,16
AMD,Ryzen 7 5800H,16
Apple,M1 Pro,10
Intel,Core i9 11900H,16
AMD,Ryzen 7 6800U​,16
AMD,Ryzen 7 3700X,16
Intel,Core i5 12400,12
Intel,Core i5 12400F,12
AMD,Ryzen 9 5980HX,16
Intel,Core i9 7900X,20
AMD,Ryzen 7 4700GE,16
AMD,Ryzen 9 4900H,16
